timestamp(us), fingerID, X1, Y1, Z1, fingerID, X2, Y2, Z2, fingerID, X3, Y3, Z3
47222057844 , 0 , -38.4395 , 364.006 , -47.4207 , 1 , -0.955261 , 336.694 , -28.3836 , 2 , -74.055 , 336.54 , -26.9454 , 
47222082442 , 0 , -39.1419 , 366.303 , -47.0016 , 1 , -1.8327 , 339.203 , -28.2535 , 2 , -74.8756 , 340.092 , -27.1429 , 
47222119205 , 0 , -40.4656 , 372.15 , -46.2036 , 1 , -3.18939 , 345.853 , -28.3137 , 2 , -75.9293 , 345.476 , -26.3437 , 
47222156222 , 0 , -41.3591 , 376.563 , -45.0016 , 1 , -4.16514 , 351.667 , -27.5463 , 2 , -76.7971 , 351.258 , -25.5894 , 
47222180847 , 0 , -41.8723 , 379.732 , -43.416 , 1 , -4.6352 , 355.989 , -27.2598 , 2 , -76.9525 , 353.789 , -24.2347 , 
47222217541 , 0 , -42.4577 , 386.478 , -41.6161 , 1 , -5.30916 , 359.996 , -23.2054 , 2 , -77.4782 , 360.142 , -22.298 , 
47222242202 , 0 , -42.5645 , 389.785 , -39.571 , 1 , -5.49672 , 364.198 , -21.0559 , 2 , -77.8354 , 364.723 , -20.9395 , 
47222279262 , 0 , -42.8331 , 396.218 , -35.5282 , 1 , -5.74696 , 370.746 , -18.0743 , 2 , -78.0323 , 371.285 , -17.9215 , 
47222316042 , 0 , -42.8312 , 401.797 , -30.7469 , 
47222414460 , 0 , -75.1894 , 386.768 , -3.08264 , 
47222438950 , 0 , -41.1976 , 415.25 , -16.2278 , 
47222611194 , 0 , -45.1207 , 421.453 , -17.7919 , 
47222758664 , 0 , -52.3403 , 420.227 , -25.9204 , 
47222783293 , 0 , -53.2034 , 421.224 , -27.2571 , 
47222832434 , 0 , -55.5964 , 418.924 , -29.3502 , 
47222930926 , 0 , -57.9714 , 413.813 , -32.7342 , 
47222955406 , 0 , -58.0518 , 413.388 , -32.8256 , 1 , -89.823 , 379.952 , -12.104 , 
47222980065 , 0 , -57.9721 , 412.511 , -32.2272 , 
47223016997 , 0 , -57.8691 , 412.285 , -31.9043 , 
47223041564 , 0 , -57.8038 , 412.903 , -31.7076 , 
47223164543 , 0 , -56.376 , 417.616 , -25.0358 , 
47223189185 , 0 , -56.9475 , 418.434 , -22.3546 , 
47223213776 , 0 , -57.3296 , 417.878 , -18.7582 , 
47223459750 , 0 , -112.854 , 562.038 , 156.909 , 
47223496573 , 0 , -114.889 , 564.74 , 177.391 , 
