timestamp(us), fingerID, X1, Y1, Z1, fingerID, X2, Y2, Z2, fingerID, X3, Y3, Z3, edge1, edge2, edge3
39425895817 , 0 , 46.6994 , 248.236 , 141.666 , 1 , 8.31056 , 216.702 , 152.479 , 2 , 83.2756 , 210.636 , 155.55 , 50.8437 , 54.2622 , 75.2727 , 
39425931647 , 0 , 44.9013 , 248.289 , 141.683 , 1 , 6.52041 , 216.46 , 152.189 , 2 , 81.5696 , 210.589 , 155.086 , 50.956 , 54.2724 , 75.3343 , 
39425943753 , 0 , 44.3097 , 248.082 , 141.342 , 1 , 6.06525 , 216.528 , 152.378 , 2 , 80.9124 , 210.602 , 155.091 , 50.7945 , 54.1624 , 75.1304 , 
39425967877 , 0 , 43.2454 , 248.148 , 141.351 , 1 , 4.94869 , 216.606 , 152.195 , 2 , 80.148 , 210.535 , 154.275 , 50.7853 , 54.2545 , 75.4726 , 
39425992794 , 0 , 42.3245 , 248.303 , 141.033 , 1 , 3.98345 , 216.771 , 151.988 , 2 , 78.8875 , 210.559 , 154.328 , 50.8362 , 54.2052 , 75.1975 , 
39426003897 , 0 , 41.9185 , 248.236 , 140.813 , 1 , 3.43529 , 216.747 , 151.504 , 2 , 78.3972 , 210.732 , 154.52 , 50.8605 , 54.0843 , 75.2633 , 
39426027855 , 0 , 40.8873 , 248.116 , 140.611 , 1 , 2.3407 , 216.953 , 151.428 , 2 , 77.3774 , 210.755 , 154.287 , 50.7349 , 53.9857 , 75.3465 , 
39426051849 , 0 , 39.6221 , 247.926 , 140.094 , 1 , 1.15646 , 216.923 , 151.468 , 2 , 75.9315 , 210.535 , 154.012 , 50.6968 , 53.9462 , 75.0905 , 
39426075929 , 0 , 38.2562 , 247.623 , 139.163 , 1 , -0.263711 , 216.783 , 151.167 , 2 , 74.6371 , 210.572 , 153.717 , 50.7837 , 53.9274 , 75.2011 , 
39426087867 , 0 , 37.6308 , 247.842 , 137.856 , 1 , -0.967468 , 216.776 , 151.056 , 2 , 73.9201 , 210.429 , 153.452 , 51.2756 , 54.4048 , 75.1942 , 
39426111847 , 0 , 36.1206 , 247.564 , 138.182 , 1 , -2.54269 , 216.569 , 150.537 , 2 , 72.4705 , 210.017 , 152.631 , 51.0702 , 54.2203 , 75.3279 , 
39426135882 , 0 , 34.4526 , 247.296 , 138.098 , 1 , -4.28232 , 216.262 , 149.949 , 2 , 70.8884 , 209.812 , 152.187 , 51.0286 , 54.1391 , 75.4801 , 
39426159870 , 0 , 32.6099 , 247.029 , 137.719 , 1 , -6.21611 , 216.029 , 149.318 , 2 , 69.166 , 209.643 , 151.69 , 51.0198 , 54.1229 , 75.6893 , 
39426171842 , 0 , 31.6965 , 246.934 , 137.606 , 1 , -7.23145 , 216.06 , 149.028 , 2 , 68.2476 , 209.495 , 151.394 , 50.9814 , 54.1095 , 75.8009 , 
39426195907 , 0 , 29.859 , 246.829 , 137.661 , 1 , -8.89139 , 215.662 , 148.847 , 2 , 66.4217 , 209.285 , 151.065 , 50.9714 , 54.0929 , 75.6151 , 
39426207878 , 0 , 29.0082 , 246.917 , 137.885 , 1 , -9.74662 , 215.54 , 148.774 , 2 , 65.5713 , 209.177 , 150.807 , 51.0395 , 54.1124 , 75.6135 , 
39426231878 , 0 , 27.2464 , 246.983 , 137.832 , 1 , -11.3291 , 215.574 , 149.294 , 2 , 63.895 , 209.198 , 150.569 , 51.0493 , 54.1578 , 75.5045 , 
39426255881 , 0 , 25.5926 , 247.049 , 137.099 , 1 , -13.0124 , 215.46 , 149.072 , 2 , 62.2417 , 209.221 , 150.406 , 3 , -11.3186 , 237.727 , 231.968 , 
39426267847 , 0 , 24.7976 , 247.056 , 137.242 , 1 , -13.7642 , 215.453 , 149.103 , 2 , 61.5189 , 209.144 , 150.014 , 51.2492 , 54.3035 , 75.5524 , 
39426279941 , 0 , 24.1007 , 246.962 , 135.835 , 1 , -14.4908 , 215.556 , 149.252 , 2 , 60.7481 , 209.164 , 149.879 , 51.5332 , 54.4881 , 75.5125 , 
39426315779 , 0 , 21.7283 , 247.226 , 136.288 , 1 , -16.9034 , 215.505 , 149.033 , 2 , 58.5388 , 209.287 , 149.442 , 51.5857 , 54.4741 , 75.6992 , 
39426328082 , 0 , 20.8766 , 247.524 , 135.305 , 1 , -17.8603 , 215.706 , 149.075 , 2 , 57.7811 , 209.661 , 149.367 , 51.9858 , 54.7105 , 75.8831 , 
39426339886 , 0 , 19.9362 , 247.673 , 135.969 , 1 , -18.6965 , 215.958 , 149.372 , 2 , 56.9125 , 209.986 , 149.543 , 51.7493 , 54.5143 , 75.8447 , 
39426362319 , 0 , 18.6844 , 248.456 , 135.533 , 1 , -20.1005 , 215.928 , 148.995 , 2 , 55.6921 , 210.069 , 149.193 , 52.3792 , 55.043 , 76.0189 , 
39426364195 , 0 , 18.3385 , 248.579 , 136.302 , 1 , 55.6032 , 210.211 , 148.917 , 2 , -20.2863 , 216.291 , 149.56 , 54.9536 , 52.0595 , 76.1354 , 
39426380402 , 0 , 17.2509 , 248.712 , 136.69 , 1 , 54.4896 , 210.509 , 149.168 , 2 , -21.3486 , 216.614 , 149.748 , 54.7893 , 51.8723 , 76.0856 , 
39426436003 , 0 , 13.1494 , 249.188 , 136.484 , 1 , 50.3082 , 210.851 , 149.171 , 2 , -25.4185 , 216.834 , 150.103 , 54.8769 , 52.1508 , 75.9684 , 
39426461718 , 0 , 11.0724 , 249.296 , 137.268 , 1 , 48.3866 , 210.792 , 148.815 , 2 , -27.3421 , 216.96 , 150.507 , 54.8472 , 51.9282 , 75.9983 , 
39426484064 , 0 , 9.22225 , 249.21 , 137.334 , 1 , 46.5011 , 210.968 , 149.098 , 2 , -29.1766 , 216.848 , 150.325 , 54.6859 , 51.8705 , 75.9157 , 
39426509463 , 0 , 7.20421 , 249.009 , 137.102 , 1 , 44.6505 , 211.177 , 149.014 , 2 , -31.2073 , 216.652 , 150.139 , 54.547 , 51.8883 , 76.0634 , 
39426531930 , 0 , 5.42117 , 248.881 , 136.036 , 1 , 42.7631 , 211.195 , 149.104 , 2 , -32.9744 , 216.64 , 150.379 , 3 , -27.746 , 237.725 , 232.83 , 
39426543995 , 0 , 4.30666 , 248.689 , 135.98 , 1 , 41.8602 , 211.104 , 148.622 , 2 , -34.0311 , 216.59 , 150.437 , 3 , -28.016 , 237.732 , 232.843 , 
39426579947 , 0 , 1.32844 , 248.635 , 134.963 , 1 , 38.8548 , 211.238 , 148.657 , 2 , -36.95 , 216.558 , 150.649 , 3 , -28.6055 , 237.251 , 233.058 , 
39426592041 , 0 , 0.27726 , 248.549 , 135.491 , 1 , 37.7975 , 211.189 , 148.626 , 2 , -37.9318 , 216.604 , 150.815 , 3 , -29.5546 , 237.306 , 232.823 , 
39426616025 , 0 , -1.87877 , 248.788 , 136.671 , 1 , 35.6799 , 211.518 , 148.671 , 2 , -40.0175 , 216.828 , 150.878 , 3 , -30.6896 , 237.335 , 233.137 , 
39426639891 , 0 , -3.8933 , 249.249 , 135.965 , 1 , 33.7967 , 212.121 , 148.684 , 2 , -41.9583 , 216.934 , 150.85 , 3 , -31.5904 , 237.231 , 233.139 , 
39426663998 , 0 , -6.05417 , 249.427 , 136.794 , 1 , 31.7827 , 212.168 , 148.109 , 2 , -44.035 , 217.131 , 150.96 , 54.2943 , 51.8295 , 76.0334 , 
39426676049 , 0 , -7.12181 , 249.333 , 137.104 , 1 , 30.761 , 212.242 , 147.995 , 2 , -45.146 , 216.881 , 150.647 , 54.1246 , 51.792 , 76.0949 , 
39426699948 , 0 , -9.20945 , 249.008 , 137.074 , 1 , 28.7274 , 212.024 , 147.709 , 2 , -47.1025 , 216.832 , 150.929 , 54.038 , 51.6053 , 76.0504 , 
39426711934 , 0 , -10.1784 , 248.838 , 136.462 , 1 , 27.9249 , 211.891 , 147.206 , 2 , -48.0177 , 216.6 , 150.873 , 54.1512 , 51.757 , 76.1768 , 
39426735981 , 0 , -11.989 , 248.591 , 136.352 , 1 , 26.2121 , 211.82 , 146.868 , 2 , -49.665 , 216.355 , 150.808 , 54.0562 , 51.649 , 76.1145 , 
39426760005 , 0 , -13.5592 , 248.506 , 134.823 , 1 , 24.5599 , 211.898 , 146.764 , 2 , -51.2508 , 216.248 , 150.285 , 54.1834 , 51.9643 , 76.017 , 
39426783935 , 0 , -15.0126 , 248.275 , 134.72 , 1 , 23.0332 , 211.977 , 146.784 , 2 , -52.5489 , 216.221 , 150.062 , 53.9495 , 51.6893 , 75.7721 , 
39426795934 , 0 , -15.7173 , 248.131 , 134.917 , 1 , 22.2617 , 211.845 , 146.608 , 2 , -53.1965 , 216.096 , 149.825 , 53.8123 , 51.5092 , 75.6463 , 
39426820092 , 0 , -17.0864 , 248.155 , 134.443 , 1 , 20.8584 , 211.938 , 146.398 , 2 , -54.5889 , 216.271 , 149.688 , 53.7993 , 51.5308 , 75.6432 , 
39426831964 , 0 , -17.7521 , 248.211 , 134.391 , 1 , 20.1904 , 212.12 , 146.339 , 2 , -55.3058 , 216.327 , 149.408 , 53.712 , 51.5017 , 75.6755 , 
39426856017 , 0 , -19.055 , 248.151 , 134.391 , 1 , 18.8622 , 212.074 , 145.759 , 2 , -56.5665 , 216.314 , 149.001 , 53.5582 , 51.3242 , 75.6172 , 
39426879935 , 0 , -20.4334 , 248.499 , 132.839 , 1 , 17.4858 , 212.107 , 145.166 , 2 , -58.1019 , 216.674 , 148.691 , 53.9835 , 51.7981 , 75.8075 , 
39426892349 , 0 , -21.2373 , 248.541 , 133.112 , 1 , 16.5616 , 212.269 , 145.26 , 2 , -58.9413 , 216.912 , 148.677 , 53.7773 , 51.6165 , 75.7227 , 
39426916079 , 0 , -22.9049 , 248.861 , 132.534 , 1 , 15.1592 , 212.412 , 144.321 , 2 , -60.4873 , 216.894 , 148.532 , 54.0031 , 51.8673 , 75.8961 , 
39426940063 , 0 , -24.6214 , 249.16 , 132.113 , 1 , 13.3768 , 212.639 , 144.378 , 2 , -62.2217 , 217.253 , 148.544 , 54.1113 , 51.9788 , 75.8536 , 
39426952047 , 0 , -25.5125 , 249.306 , 131.646 , 1 , 12.572 , 212.75 , 144.147 , 2 , -63.024 , 217.191 , 148.429 , 54.25 , 52.1546 , 75.8473 , 
39426976197 , 0 , -27.2798 , 249.463 , 131.609 , 1 , 10.8425 , 213.063 , 144.104 , 2 , -64.762 , 217.598 , 148.663 , 54.1703 , 52.0688 , 75.8775 , 
39427000019 , 0 , -29.0089 , 249.704 , 132.235 , 1 , 9.09399 , 213.535 , 144.249 , 2 , -66.3997 , 217.756 , 148.779 , 53.892 , 51.889 , 75.7471 , 
39427012062 , 0 , -29.8756 , 249.949 , 132.797 , 1 , 8.23863 , 213.655 , 144.266 , 2 , -67.2844 , 217.921 , 148.834 , 53.865 , 51.792 , 75.7812 , 
39427036053 , 0 , -31.5303 , 250.052 , 132.982 , 1 , 6.66349 , 213.86 , 143.938 , 2 , -68.8728 , 218.335 , 149.335 , 53.7459 , 51.6511 , 75.861 , 
39427048045 , 0 , -32.3465 , 250.211 , 133.411 , 1 , 5.87379 , 214.027 , 143.898 , 2 , -69.6364 , 218.355 , 149.281 , 53.6661 , 51.5478 , 75.8255 , 
39427060060 , 0 , -33.1447 , 250.489 , 133.425 , 1 , 5.07303 , 214.071 , 143.853 , 2 , -70.4095 , 218.514 , 149.237 , 53.8106 , 51.5855 , 75.8045 , 
39427096089 , 0 , -35.2965 , 251.021 , 134.037 , 1 , 2.73958 , 214.927 , 144.519 , 2 , -72.6461 , 219.097 , 149.239 , 53.4728 , 51.4319 , 75.6483 , 
39427120152 , 0 , -36.7866 , 251.453 , 133.969 , 1 , 1.23299 , 215.308 , 144.694 , 2 , -74.0441 , 219.402 , 149.489 , 53.544 , 51.5386 , 75.5407 , 
39427132256 , 0 , -37.5291 , 251.462 , 134.069 , 1 , 0.532183 , 215.374 , 144.541 , 2 , -74.786 , 219.497 , 149.588 , 53.4849 , 51.4842 , 75.5996 , 
39427156041 , 0 , -39.0346 , 251.977 , 133.206 , 1 , -0.94189 , 215.611 , 144.744 , 2 , -76.2136 , 219.449 , 149.498 , 53.9134 , 52.0168 , 75.5192 , 
39427180115 , 0 , -40.5246 , 252.136 , 134.183 , 1 , -2.34305 , 215.739 , 144.512 , 2 , -77.7148 , 219.839 , 149.864 , 53.7523 , 51.6928 , 75.6727 , 
39427192680 , 0 , -41.3203 , 252.142 , 134.553 , 1 , -3.14294 , 216.017 , 144.684 , 2 , -78.4687 , 220.036 , 150.107 , 53.5272 , 51.505 , 75.6276 , 
39427216105 , 0 , -42.8803 , 252.605 , 134.56 , 1 , -4.67715 , 216.393 , 144.859 , 2 , -80.1673 , 220.442 , 150.26 , 53.6364 , 51.6845 , 75.7914 , 
39427240822 , 0 , -44.5233 , 252.754 , 134.891 , 1 , -6.33642 , 216.53 , 145.002 , 2 , -81.7246 , 220.493 , 150.416 , 53.5966 , 51.6306 , 75.6861 , 
39427252080 , 0 , -45.3279 , 252.814 , 135.047 , 1 , -7.17575 , 216.673 , 145.181 , 2 , -82.5326 , 220.804 , 150.88 , 53.5203 , 51.5703 , 75.6848 , 
