time(ms), x(mm), y, z, ax(m/s2), ay, az
28886584.688,-0.60551164982,224.27188521,108.19241776,-0.34336411534,2.6106714749,0.99617380438
28886585.188,-0.60858168861,224.22172256,108.18928315,-0.3432736355,2.9009448739,1.026590524
28886585.688,-0.61181870684,224.17221725,108.1859618,-0.34318289214,3.1912386917,1.0567115875
28886586.188,-0.61523040146,224.1234319,108.18241707,-0.34309174462,3.4815512733,1.0865465001
28886586.688,-0.61882446941,224.07542912,108.17861238,-0.34300006375,3.7718808889,1.1161057181
28886587.188,-0.62260860766,224.02827151,108.17451109,-0.34290773192,4.0622257341,1.1454006491
28886587.688,-0.62659051315,223.98202169,108.17007661,-0.34281464309,4.352583931,1.1744436521
28886588.188,-0.63077788284,223.93674226,108.16527232,-0.3427207026,4.6429535303,1.2032480395
28886588.688,-0.63517841369,223.89249583,108.16006161,-0.3426258275,4.9333325101,1.2318280746
28886589.188,-0.63979980263,223.84934501,108.15440787,-0.34252994622,5.2237187787,1.2601989741
28886589.688,-0.64464974664,223.8073524,108.14827448,-0.34243299881,5.5141101732,1.2883769072
28886590.188,-0.64973594266,223.76658062,108.14162484,-0.34233493677,5.804504461,1.3163789959
28886590.688,-0.65506608764,223.72709228,108.13442234,-0.3422357231,6.0948993404,1.3442233151
28886591.188,-0.66064787854,223.68894997,108.12663035,-0.34213533242,6.3852924386,1.3719288924
28886591.688,-0.66648901231,223.65221631,108.11821228,-0.34203375074,6.6756813138,1.3995157085
28886592.188,-0.6725971859,223.61695392,108.10913152,-0.34193097563,6.9660634537,1.4270046962
28886592.688,-0.67898009628,223.58322539,108.09935144,-0.34182701619,7.2564362747,1.4544177407
28886593.188,-0.68564544038,223.55109333,108.08883543,-0.34172189296,7.5467971216,1.48177768
28886593.688,-0.69260091516,223.52062036,108.0775469,-0.34161563802,7.8371432667,1.5091083029
28886594.188,-0.69985421759,223.49186908,108.06544922,-0.34150829494,8.1274719078,1.5364343503
28886594.688,-0.7074130446,223.4649021,108.05250579,-0.34139991875,8.4177801674,1.5637815138
